Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH
NMC,55,J2-400,2.1,1.7164,5,45,36.78,3.8578,3.8749,3.8808,3.8643,3.8597,3.8426,3.8361,3.8535,3.8569,3.8907,3.9031,3.8693,3.8609,3.8265,3.8144,3.8488,3.8557,3.9245,3.9474,3.8808,3.864,0.8173333333333332,3.8672714285714287
NMC,5,D3-500,2.1,1.6421,5,45,35.18785714285714,3.8581,3.8746,3.8805,3.8643,3.8597,3.8445,3.8377,3.8538,3.8575,3.8901,3.9022,3.8709,3.8616,3.829,3.8169,3.8498,3.8566,3.9223,3.9453,3.8805,3.8643,0.7819523809523808,3.867628571428572
NMC,61,J3-500,2.1,1.4958,5,40,28.49142857142857,3.8588,3.8758,3.882,3.8653,3.8603,3.8433,3.8371,3.8544,3.8581,3.8929,3.9046,3.8715,3.8619,3.8284,3.8151,3.8498,3.8569,3.9229,3.9502,3.8814,3.8647,0.7122857142857143,3.86835238095238
NMC,39,I3-500,2.1,1.6856,5,45,36.12,3.8597,3.8764,3.882,3.8653,3.8612,3.8439,3.8383,3.8554,3.8581,3.8929,3.9037,3.8699,3.8628,3.8281,3.8169,3.851,3.8575,3.9239,3.9471,3.8802,3.8653,0.8026666666666666,3.8685523809523814
NMC,63,J4-100,2.1,1.8809,5,50,44.78333333333333,3.86,3.8746,3.882,3.8659,3.8616,3.8467,3.8392,3.8557,3.8588,3.8895,3.9031,3.8718,3.8628,3.8318,3.8185,3.851,3.8581,3.9233,3.9456,3.8811,3.8656,0.8956666666666666,3.8688904761904763
NMC,57,J2-600,2.1,1.4437,5,40,27.499047619047616,3.8597,3.8783,3.8845,3.8668,3.8616,3.8426,3.8358,3.8547,3.8585,3.896,3.909,3.8724,3.8628,3.8259,3.8126,3.8495,3.8572,3.9276,3.9574,3.8839,3.8662,0.6874761904761905,3.869666666666667
NMC,8,D4-200,2.1,1.8448,5,50,43.92380952380952,3.8609,3.8761,3.882,3.8668,3.8625,3.8467,3.8408,3.8569,3.8603,3.8919,3.9028,3.8715,3.8637,3.834,3.8209,3.8529,3.8594,3.9233,3.9443,3.8814,3.8668,0.8784761904761904,3.8698047619047613
NMC,66,J4-500,2.1,1.4674,5,40,27.950476190476188,3.8606,3.8764,3.8833,3.8671,3.8625,3.8461,3.8395,3.8557,3.8594,3.8929,3.9053,3.8736,3.8637,3.8324,3.8185,3.8513,3.8588,3.9217,3.9493,3.8839,3.8665,0.6987619047619047,3.869928571428571
NMC,2,D3-200,2.1,1.8499,5,50,44.0452380952381,3.8612,3.8774,3.8833,3.8671,3.8631,3.8467,3.8408,3.8569,3.8603,3.8932,3.9046,3.8724,3.8643,3.8337,3.82,3.8519,3.8594,3.9208,3.9471,3.8839,3.8671,0.880904761904762,3.870247619047619
NMC,25,H3-200,2.1,1.8332,5,50,43.647619047619045,3.8625,3.8783,3.8839,3.8681,3.8637,3.8473,3.8417,3.8578,3.8612,3.8938,3.9053,3.8736,3.8653,3.8346,3.8213,3.8538,3.8606,3.9248,3.9474,3.8829,3.8678,0.8729523809523809,3.87122380952381
NMC,42,I4-200,2.1,1.8275,5,50,43.51190476190476,3.8631,3.8792,3.8848,3.869,3.8647,3.8485,3.8426,3.8585,3.8619,3.8938,3.9062,3.8749,3.8659,3.834,3.8219,3.8541,3.8612,3.926,3.949,3.8857,3.8687,0.8702380952380951,3.8720809523809523
NMC,47,J1-200,2.1,1.8448,5,50,43.92380952380952,3.8631,3.8789,3.8851,3.8693,3.865,3.8498,3.8433,3.8588,3.8625,3.8938,3.9059,3.8749,3.8662,3.8346,3.8231,3.8541,3.8616,3.9251,3.9474,3.8851,3.869,0.8784761904761904,3.8722190476190472
NMC,60,J3-400,2.1,1.6817,5,45,36.03642857142857,3.864,3.8798,3.8864,3.8702,3.8656,3.8498,3.8439,3.86,3.8637,3.896,3.9074,3.8755,3.8668,3.8346,3.8234,3.8557,3.8628,3.9273,3.9499,3.886,3.8699,0.8008095238095237,3.873271428571429
NMC,22,E4-500,2.1,1.6562,5,45,35.489999999999995,3.864,3.8802,3.8857,3.8702,3.8656,3.8501,3.8442,3.8603,3.8637,3.895,3.9071,3.8755,3.8671,3.8355,3.824,3.8554,3.8631,3.9264,3.949,3.887,3.8699,0.7886666666666666,3.873285714285715
NMC,27,H3-500,2.1,1.6369,5,45,35.07642857142857,3.8643,3.8811,3.8867,3.8699,3.8659,3.8492,3.8433,3.86,3.8631,3.8972,3.9081,3.8749,3.8671,3.8333,3.8222,3.8557,3.8622,3.9298,3.9512,3.8848,3.8699,0.7794761904761904,3.8733285714285706
NMC,19,E4-200,2.1,1.8324,5,50,43.628571428571426,3.865,3.8802,3.8864,3.8712,3.8662,3.8523,3.8448,3.8606,3.8637,3.8947,3.9071,3.8758,3.8674,3.8358,3.824,3.855,3.8628,3.9248,3.949,3.8864,3.8705,0.8725714285714286,3.873509523809523
